"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2026 02:15:00 - 03/01/2026 02:30:00","BZN|NL","Without Sequence","76.53","",""
"03/01/2026 02:30:00 - 03/01/2026 02:45:00","BZN|NL","Without Sequence","75.36","",""
"03/01/2026 02:45:00 - 03/01/2026 03:00:00","BZN|NL","Without Sequence","73.84","",""
"03/01/2026 03:00:00 - 03/01/2026 03:15:00","BZN|NL","Without Sequence","76.71","",""
"03/01/2026 03:15:00 - 03/01/2026 03:30:00","BZN|NL","Without Sequence","75.38","",""
"03/01/2026 03:30:00 - 03/01/2026 03:45:00","BZN|NL","Without Sequence","74.20","",""
"03/01/2026 03:45:00 - 03/01/2026 04:00:00","BZN|NL","Without Sequence","73.72","",""
"03/01/2026 04:00:00 - 03/01/2026 04:15:00","BZN|NL","Without Sequence","73.42","",""
"03/01/2026 04:15:00 - 03/01/2026 04:30:00","BZN|NL","Without Sequence","73.09","",""
"03/01/2026 04:30:00 - 03/01/2026 04:45:00","BZN|NL","Without Sequence","73.20","",""
"03/01/2026 04:45:00 - 03/01/2026 05:00:00","BZN|NL","Without Sequence","73.07","",""
"03/01/2026 05:00:00 - 03/01/2026 05:15:00","BZN|NL","Without Sequence","73.99","",""
"03/01/2026 05:15:00 - 03/01/2026 05:30:00","BZN|NL","Without Sequence","73.89","",""
"03/01/2026 05:30:00 - 03/01/2026 05:45:00","BZN|NL","Without Sequence","75.30","",""
"03/01/2026 05:45:00 - 03/01/2026 06:00:00","BZN|NL","Without Sequence","76.97","",""
"03/01/2026 06:00:00 - 03/01/2026 06:15:00","BZN|NL","Without Sequence","72.73","",""
"03/01/2026 06:15:00 - 03/01/2026 06:30:00","BZN|NL","Without Sequence","74.61","",""
"03/01/2026 06:30:00 - 03/01/2026 06:45:00","BZN|NL","Without Sequence","77.16","",""
"03/01/2026 06:45:00 - 03/01/2026 07:00:00","BZN|NL","Without Sequence","79.79","",""
"03/01/2026 07:00:00 - 03/01/2026 07:15:00","BZN|NL","Without Sequence","78.56","",""
"03/01/2026 07:15:00 - 03/01/2026 07:30:00","BZN|NL","Without Sequence","77.03","",""
"03/01/2026 07:30:00 - 03/01/2026 07:45:00","BZN|NL","Without Sequence","79.73","",""
"03/01/2026 07:45:00 - 03/01/2026 08:00:00","BZN|NL","Without Sequence","82.18","",""
"03/01/2026 08:00:00 - 03/01/2026 08:15:00","BZN|NL","Without Sequence","87.85","",""
"03/01/2026 08:15:00 - 03/01/2026 08:30:00","BZN|NL","Without Sequence","90.35","",""
"03/01/2026 08:30:00 - 03/01/2026 08:45:00","BZN|NL","Without Sequence","91.91","",""
"03/01/2026 08:45:00 - 03/01/2026 09:00:00","BZN|NL","Without Sequence","92.65","",""
"03/01/2026 09:00:00 - 03/01/2026 09:15:00","BZN|NL","Without Sequence","95.35","",""
