MTU (CET/CEST),Area,Day-ahead solar (MW),Intraday solar (MW),Actual solar (MW)
04/01/2025 00:15:00 - 04/01/2025 00:30:00,BZN|NL,0,0,0
04/01/2025 00:30:00 - 04/01/2025 00:45:00,BZN|NL,0,0,0
04/01/2025 00:45:00 - 04/01/2025 01:00:00,BZN|NL,0,0,0
04/01/2025 01:00:00 - 04/01/2025 01:15:00,BZN|NL,0,0,0
04/01/2025 01:15:00 - 04/01/2025 01:30:00,BZN|NL,0,0,0
04/01/2025 01:30:00 - 04/01/2025 01:45:00,BZN|NL,0,0,0
04/01/2025 01:45:00 - 04/01/2025 02:00:00,BZN|NL,0,0,0
04/01/2025 02:00:00 - 04/01/2025 02:15:00,BZN|NL,0,0,0
04/01/2025 02:15:00 - 04/01/2025 02:30:00,BZN|NL,0,0,0
04/01/2025 02:30:00 - 04/01/2025 02:45:00,BZN|NL,0,0,0
04/01/2025 02:45:00 - 04/01/2025 03:00:00,BZN|NL,0,0,0
04/01/2025 03:00:00 - 04/01/2025 03:15:00,BZN|NL,0,0,0
04/01/2025 03:15:00 - 04/01/2025 03:30:00,BZN|NL,0,0,0
04/01/2025 03:30:00 - 04/01/2025 03:45:00,BZN|NL,0,0,0
04/01/2025 03:45:00 - 04/01/2025 04:00:00,BZN|NL,0,0,0
04/01/2025 04:00:00 - 04/01/2025 04:15:00,BZN|NL,0,0,0
04/01/2025 04:15:00 - 04/01/2025 04:30:00,BZN|NL,0,0,0
04/01/2025 04:30:00 - 04/01/2025 04:45:00,BZN|NL,0,0,0
04/01/2025 04:45:00 - 04/01/2025 05:00:00,BZN|NL,0,0,0
04/01/2025 05:00:00 - 04/01/2025 05:15:00,BZN|NL,0,0,0
04/01/2025 05:15:00 - 04/01/2025 05:30:00,BZN|NL,0,0,0
04/01/2025 05:30:00 - 04/01/2025 05:45:00,BZN|NL,0,0,0
04/01/2025 05:45:00 - 04/01/2025 06:00:00,BZN|NL,0,0,0
04/01/2025 06:00:00 - 04/01/2025 06:15:00,BZN|NL,0,0,0
04/01/2025 06:15:00 - 04/01/2025 06:30:00,BZN|NL,0,0,0
04/01/2025 06:30:00 - 04/01/2025 06:45:00,BZN|NL,0,0,0
04/01/2025 06:45:00 - 04/01/2025 07:00:00,BZN|NL,0,0,0
04/01/2025 07:00:00 - 04/01/2025 07:15:00,BZN|NL,0,0,0
04/01/2025 07:15:00 - 04/01/2025 07:30:00,BZN|NL,0,0,0
04/01/2025 07:30:00 - 04/01/2025 07:45:00,BZN|NL,0,0,0
04/01/2025 07:45:00 - 04/01/2025 08:00:00,BZN|NL,0,0,0
04/01/2025 08:00:00 - 04/01/2025 08:15:00,BZN|NL,0,0,0
04/01/2025 08:15:00 - 04/01/2025 08:30:00,BZN|NL,0,0,0
04/01/2025 08:30:00 - 04/01/2025 08:45:00,BZN|NL,0,0,0
04/01/2025 08:45:00 - 04/01/2025 09:00:00,BZN|NL,0,0,0.06
04/01/2025 09:00:00 - 04/01/2025 09:15:00,BZN|NL,0,0,0.95
04/01/2025 09:15:00 - 04/01/2025 09:30:00,BZN|NL,47,47,4.31
04/01/2025 09:30:00 - 04/01/2025 09:45:00,BZN|NL,97,97,7.47
